"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"40","Sydney1",0.00781007798154198,"Hard","Roundof16",0.00540865384615385,0.0491566265060241,0.435606060606061,0.44383149448345,0.368421052631579,0.473684210526316,0.342857142857143,0.4,0.2,0.371428571428571,"Right","Left","NEurope","USA","X2","3"
"41","Sydney1",0.00781007798154198,"Hard","Roundof16",0.00961538461538462,0.0539759036144578,0.429545454545455,0.407221664994985,0.526315789473684,0.526315789473684,0.285714285714286,0.766666666666667,0.142857142857143,0.571428571428571,"Right","Right","USA","USA","X2","3"
"42","Sydney1",0.00781007798154198,"Hard","Roundof16",0.0805288461538462,0.0125301204819277,0.484848484848485,0.413741223671013,0.368421052631579,0.736842105263158,0.485714285714286,0.333333333333333,0.457142857142857,0.314285714285714,"Left","Right","USA","Oceania","X2","3"
"43","Sydney1",0.00781007798154198,"Hard","Roundof16",0.0222355769230769,0.0520481927710843,0.428030303030303,0.416750250752257,0.736842105263158,0.157894736842105,0.8,0.166666666666667,0.6,0.371428571428571,"Right","Right","USA","Oceania","X3","3"
"44","Sydney1",0.00781007798154198,"Hard","Roundof16",0.0270432692307692,0.0187951807228916,0.474242424242424,0.409227683049147,0.789473684210526,0.421052631578947,0.714285714285714,0.5,0.657142857142857,0.428571428571429,"Right","Right","Asia","Oceania","X2","3"
"45","Sydney1",0.00781007798154198,"Hard","Roundof16",0.0522836538461538,0.0587951807228916,0.413636363636364,0.394182547642929,0.526315789473684,0.473684210526316,0.485714285714286,0.166666666666667,0.457142857142857,0.114285714285714,"Left","Right","Oceania","USA","X3","3"
"46","Sydney1",0.00781007798154198,"Hard","Roundof16",0.0300480769230769,0.142168674698795,0.434090909090909,0.360080240722166,0.368421052631579,0.315789473684211,0.485714285714286,0.5,0.542857142857143,0.514285714285714,"Left","Right","USA","NEurope","X2","3"
"47","Sydney1",0.00781007798154198,"Hard","Roundof32",0.000600961538461538,0.0289156626506024,0.431060606060606,0.405215646940822,0.473684210526316,0.263157894736842,0.571428571428571,0.4,0.457142857142857,0.4,"Right","Right","USA","Oceania","X2","3"
"48","Sydney1",0.00781007798154198,"Hard","Roundof32",0.00540865384615385,0.0472289156626506,0.435606060606061,0.412738214643932,0.368421052631579,0.894736842105263,0.342857142857143,0.766666666666667,0.2,0.571428571428571,"Right","Right","NEurope","Oceania","X2","3"
"49","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0300480769230769,0.00289156626506024,0.434090909090909,0.414242728184554,0.368421052631579,0.157894736842105,0.485714285714286,0.5,0.542857142857143,0.628571428571429,"Left","Right","USA","Oceania","X3","3"
